"id","name_kaz","adamdar","name_rus","period_kaz","period_rus","tenge","source_url","api_endpoint","government_agency"
"1","Айыртау ауданы","6","Айыртауский район","2025 ж. 01.01","01.01.2025 г.","33.1","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","М. Жумабаев ауданы","","район М. Жумабаева","2025 ж. 01.01","01.01.2025 г.","","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"11","Тимирязев ауданы","","Тимирязевский район","2025 ж. 01.01","01.01.2025 г.","","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","Жамбыл ауданы","","Жамбылский район","2025 ж. 01.01","01.01.2025 г.","","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","Тайынша ауданы","10","Тайыншинский район","2025 ж. 01.01","01.01.2025 г.","163.5","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"4","Есил ауданы","4","Есильский район ","2025 ж. 01.01","01.01.2025 г.","34.9","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","Г. Мусрепов ауданы","3","район Г. Мусрепова ","2025 ж. 01.01","01.01.2025 г.","111.5","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"14","Петропавл каласы","282"," город Петропавловск","2025 ж. 01.01","01.01.2025 г.","10305","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"3","Аккайын ауданы","","Аккайынский район","2025 ж. 01.01","01.01.2025 г.","","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","Мамлют ауданы","","Мамлютский район","2025 ж. 01.01","01.01.2025 г.","","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/statistikazhilpomoshsko/v30?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
