"id","name5","name6","name3","name4","name9","name11","name10","name7","name8","name1","name2","source_url","api_endpoint","government_agency"
"3","ВАЗ 21043-03    421АО13","""ВАЗ 21043-03""    421АО13","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","103322","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","ВАЗ-2106              0547/17","ВАЗ-2106       0547/17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","232320","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"13","ВАЗ-2106               857AJ17","ВАЗ-2106       857AJ17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","322102","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"17","ВАЗ-2107              853AJ17","ВАЗ-2107      853AJ17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","275398","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"22","Фольксваген Пассат 0450/17","Фольксваген Пассат 0450/17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","1 593 699","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"27"," ВАЗ 21101             856AJ17","ВАЗ 21101      856AJ17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","247000","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"32","ВАЗ-21070                  0578-17","ВАЗ-21070              0578-17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","311854","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"37","Тойота королла 
881AJ17","Тойота королла 
881AJ17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","747015","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"46","ВАЗ-21070          897AJ17","ВАЗ-21070     897AJ17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","433104","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"51","ВАЗ-21070           913AJ17","ВАЗ-21070           913AJ17","автокөлік","автомобиль","Мемлекеттік мүлік тізілімінде электрондық аукцион арқылы www.gosreestr.kz.","247264","В виде электронного аукциона на веб-портале Реестра государственого имущества www.gosreestr.kz.","бір, автокөлік","один, автомобиль","Шымкент қаласы","город Шымкент","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/zhekeshelendiru_zhonindegi_mal2/v4?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
