"id","name5","name14","name6","name13","name12","name4","name9","name11","name10","name7","name8","name1","name2","source_url","api_endpoint","government_agency"
"3","город Шымкент","77016210050;","мкр Бозарык"," ""Гео Нұр құрылыс"" ЖШС","ТОО ""Гео Нұр құрылыс""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Бозарық ш/а","2019","«Строительство инженерной инфраструктуры для малоэтажных жилых домов в жилом массиве Бозарык в г.Шымкент, ЮКО» (газоснабжение)»
","""ОҚО, Шымкент қ. Бозарық тұрғын алабында аз қабатты тұрғын үйлер үшін инженерлік инфрақұрылым құрылысы""(газбен жабдықтау)""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"8","город Шымкент","87789465743
","мкр Туран"," ""АлемСтрой-1"" ЖШС","ТОО ""АлемСтрой-1""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Туран ш/а","2020","«Строительство инженерно-коммуникационных сетей 29 квартала в микрорайоне Туран города Шымкент»","""Шымкент қаласының Тұран шағын ауданындағы 29 кварталдың инженерлік-коммуникациялық желілерін салу""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","город Шымкент","77763020000;","мкр Бозарык","""ТВИК"" ЖШС","ТОО ""ТВИК""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Бозарық ш/а","2020","«Строительство инженерной инфраструктуры для малоэтажных жилых домов в жилом массиве Бозарык в г.Шымкент, ЮКО» (электроснабжение)»
","""ОҚО, Шымкент қ. Бозарық тұрғын алабында аз қабатты тұрғын үйлер үшін инженерлік инфрақұрылым құрылысы""(электрмен жабдықтау)""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"7","город Шымкент","8 (7252) 56-05-24","мкр Туран","""Build Stroi"" ЖШС","ТОО ""Build Stroi""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Туран ш/а","2020","«Строительство инженерно коммуникационных сетей 26 квартала в микрорайоне Туран города Шымкент»
","""Шымкент қаласының Тұран шағын ауданындағы 26 кварталдың инженерлік коммуникациялық желілерін салу""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","город Шымкент","8(725)2455044","АДЦ","«Комби-Строй-1» ЖШС","ТОО «Комби-Строй-1» ","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","ӘІО","2019","«РП ""Застройка жилых домов в северной части административного-
делового центра города Шымкент. Общая площадь земельного
участка 21,5га (газоснабжение, электроснабжение)""»","""Шымкент қаласы, әкімшілік іскерлік орталығының солтүстік
бөлігіндегі 21,5га жер учаскесіне тұрғын үйлердің құрылымын жобалау (газбен жабдықтау, электр қуатымен қамту)"" ЖЖ»","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","город Шымкент","77016210050;","мкр Бозарык"," ""Гео Нұр құрылыс"" ЖШС","ТОО ""Гео Нұр құрылыс""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Бозарық ш/а","2019","«Строительство инженерной инфраструктуры для
малоэтажных жилых домов в жилом массиве Бозарык 
в г.Шымкент, ЮКО» (канализация)»","Үшін инженерлік инфрақұрылым салу""
Бозарық тұрғын алабындағы аз қабатты тұрғын үйлер
Шымкент қ., ОҚО""(кәріз)""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"","город Шымкент","8 7252 426061","АДЦ","«Базис-К» ЖШС","ТОО «Базис-К»","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","ӘІО","2019","«Застройка жилых домов в северной части административного -
делового центра города Шымкент. Общая площадь земельного
участка 21,5 га (теплоснабжение, водоснабжение и канализация,
телефонизация, генеральный план, благоустройство)»","«Шымкент қаласының әкімшілік-іскерлік орталығының
солтүстік бөлігіндегі тұрғын үйлердің құрылыс салуы. Жер учаскесінің жалпы алаңы 21,5 га
(жылумен жабдықтау, сумен жабдықтау және канализация, телефонизация, бас жоспар, аббатандыру)»;","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","город Шымкент","77018080709;","мкр Бозарык"," ""СМУ ""БУРВОДСТРОЙ"" ЖШС"," ТОО ""СМУ ""БУРВОДСТРОЙ""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Бозарық ш/а","2020","«Строительство инженерной инфраструктуры для 
малоэтажных жилых домов в жилом массиве 
Бозарык в г.Шымкент (автомобильные дороги)»","Үшін инженерлік инфрақұрылым салу""
тұрғын алабындағы аз қабатты тұрғын үйлер
Шымкент қаласындағы Бозарық(автомобиль жолдары)""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","город Шымкент","77769990999","АДЦ","""Авторемстрой ЛТД""  ЖШС","ТОО ""Авторемстрой ЛТД"" ","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","ӘІО","2020","«Строительство инженерно-коммуникационной инфраструктуры (дорог) для нового жилого массива с АДЦ в городе Шымкент (улицы №7а, 13, 14, ул. Коктем от ПК 35+80)»
","""Шымкент қаласындағы ӘІО-мен жаңа тұрғын үй массиві үшін инженерлік-коммуникациялық инфрақұрылым (Жолдар) салу (№7А, 13, 14 көшелер, Көктем көшесі, КҚ 35+80)""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"4","город Шымкент","77016210050;","мкр Бозарык"," ""Гео Нұр құрылыс"" ЖШС","ТОО ""Гео Нұр құрылыс""","Шымкент қаласы","2025","Шымкент қаласы құрылыс басқармасы","Управление строительства города Шымкент","Бозарық ш/а","2020","«Строительство инженерной инфраструктуры для малоэтажных жилых домов в жилом массиве Бозарык в г.Шымкент, ЮКО» (водоснабжение)»
","""ОҚО, Шымкент қ. Бозарық тұрғын үй алабында аз қабатты тұрғын үйлер үшін инженерлік инфрақұрылым құрылысы""(сумен жабдықтау)""","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i3/v10?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
