"id","name","date_of_granting_license","name1","number_of_license","source_url","api_endpoint","government_agency"
"4","ТОО «Avto Lombard 911»","44322","«Avto Lombard 911» ЖШС","02.21.0079.М","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","ТОО «МФО «Квику»","44257","«Квику» микроқаржы ұйымы»  ЖШС ","11.21.0008.М.","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","ТОО «Микрофинансовая организация «DosQol»","44299","«DosQol» микроқаржы ұйымы»  ЖШС ","02.21.0006.K.
","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"19","ТОО «Ломбард ТТМ»","44364","""ТММ-Ломбард""  ЖШС","02.21.0085.М.","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"24","ТОО «МФО«N-Finance»","44343","«Микроқаржы ұйымы»«N-Finance»  ЖШС","02.21.0083.М","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"28","ТОО «Микрофинансовая организация «Alexa»","44285","«Микроқаржы ұйымы «Alexa»  ЖШС","02.21.0055.М","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"33","ТОО «Микрофинансовая организация ""KOOLMONEY»","44800","«KOOLMONEY» микроқаржы ұйымы""  ЖШС ","02.22.0003.L.","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"38","ТОО «Ломбард V Group Finance»","44280","«Ломбард V Group Finance»  ЖШС","08.21.0021.Л.","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"43","ТОО «МФО «ФинКО»","44560","«МФО «ФинКО» ЖШС ","09.21.0022.М","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"46","ТОО «Микрофинансовая организация «Взаймы»","44267","«Взаймы» Микроқаржылық ұйымы»  ЖШС","02.21.0018.М.","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/mikrokarzhy_kyzmetin_zhuzege_a1/v50?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
