"id","name","object","source_url","api_endpoint","government_agency"
"3","лицо,привлекаемое к ответственности","0.99118273031316506","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"8","3.8552751596229857","","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"13","3.1194892064457282","","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"4","адвокат","4.7005168744299182","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"9","5.6004864700516874","","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"14","5.2782000608087563","","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"5","прокурор","0.39525691699604742","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"10","8.0206749771967161","","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"15","7.8504104591061115","","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"1","истец (заявитель)","44.396473092125269","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/sot_procesine_katysushylar_men/v1?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
