"<название_поля_1>","<название_поля_2>","<название_поля_3>","source_url","api_endpoint","government_agency"
"Мүгедектігі бойынша берілетін мемлекеттік базалық әлеуметтiк жәрдемақы/Государственное базовое социальное пособие по инвалидности","541207","477254071","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Заңды тұлғаның қызметі тоқтатылған жағдайда мемлекетке сот жүктеген, адам өмірі мен денсаулығына келтірілген зиянды өтеу/Возмещение за вред, причиненный жизни и здоровью, возложенное судом на государство в случае прекращения деятельности юридического лица","663","847727","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Бала тууға байланысты берілетін біржолғы мемлекеттік жәрдемақылар/Единовременные государственные пособия в связи с рождением ребенка","378088","64031350","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Бірінші топтағы кәмелетке толған мүгедектің күтімі бойынша, арнайы мемлекеттік жәрдемақы/Государственное пособие лицу, осуществляющему уход за лицом с инвалидностью первой группы","47403","40515853","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Асыраушысынан айрылу жағдайы бойынша берілетін мемлекеттік базалық әлеуметтiк жәрдемақы/Государственное базовое социальное пособие по случаю потери кормильца","188946","135871694","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Арнаулы мемлекеттік жәрдемақылар/Специальные государственные пособия","214315","26112441","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Бiр жарым жасқа дейiнгі баланы күту үшін төленетін мемлекеттік жәрдемақылар/Государственные пособия по уходу за ребенком до полутора лет","126294","41627293","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Арнаулы кәсіптік мемлекеттік жәрдемақы/Специальная профессиональная государственная выплата","7432","7417008","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Ортақ зейнетақыларды төлеу/Выплаты солидарных пенсий","2393888","2569792370","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
"Жерлеуге берiлетiн жәрдемақы/Пособие на погребение","98319","13932792","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/yntymakty_zeinetaky_alushylard3/v43?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Central Government Office"
